ts,x,y,buttons,active_trial_id,dt_ms,vx,vy,speed_px_s,ax,ay,accel_px_s2,jerk_px_s3,heading_rad,dheading_rad,curv,dist_to_target,inside_target,target_trial_id,label,target_cx,target_cy,target_size
4571.7495029,704,433,1,6,15.994500000488188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.00218339570478,0,6,P1_TARGET,493.0,522.0,46
4571.7609268,704,433,0,6,11.423899999499554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.00218339570478,0,6,P1_TARGET,493.0,522.0,46
4571.7810426,704,433,0,6,20.11579999998503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.00218339570478,0,6,P1_TARGET,493.0,522.0,46
4571.7971044,704,433,0,6,16.06179999998858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.00218339570478,0,6,P1_TARGET,493.0,522.0,46
4571.8124882,704,433,0,6,15.383800000563497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.00218339570478,0,6,P1_TARGET,493.0,522.0,46
4571.827659,704,433,0,6,15.170799999395967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.00218339570478,0,6,P1_TARGET,493.0,522.0,46
4571.8436684,704,433,0,6,16.0094000002573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.00218339570478,0,6,P1_TARGET,493.0,522.0,46
4571.858811,704,433,0,6,15.142600000217499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.00218339570478,0,6,P1_TARGET,493.0,522.0,46
4571.8739694,704,433,0,6,15.158399999563699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.00218339570478,0,6,P1_TARGET,493.0,522.0,46
4571.8894535,704,433,0,6,15.484100000321632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.00218339570478,0,6,P1_TARGET,493.0,522.0,46
4571.905028,704,433,0,6,15.574500000184344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.00218339570478,0,6,P1_TARGET,493.0,522.0,46
4571.920387,704,432,0,6,15.358999999989464,0.0,-65.10840549519409,65.10840549519409,0.0,-4239.10446612662,4239.10446612662,276001.3325170602,-1.5707963267948966,-1.5707963267948966,1.5707963267948966,229.3926764306132,0,6,P1_TARGET,493.0,522.0,46
4571.9355729,700,426,0,6,15.185899999778485,-263.4022349718059,-395.10335245770887,474.8551321313301,-17345.184347035614,-21730.351639832235,27804.02133547248,1622116.1394072806,-2.158798930342464,-0.5880026035475674,0.0815412898921953,228.17756243767704,0,6,P1_TARGET,493.0,522.0,46
4571.9440057,700,426,0,6,8.432800000264251,0.0,0.0,0.0,31235.44196038705,46853.16294058057,56310.49379997746,9966591.32532988,-2.158798930342464,0.0,0.0,228.17756243767704,0,6,P1_TARGET,493.0,522.0,46
4571.9520687,686,418,0,6,8.0630000002202,-1736.3264293213024,-992.1865310407443,1999.8158869101749,-215344.96208283314,-123054.26404733323,248023.798444197,37138808.36990026,-2.62244653934327,-0.46364760900080615,0.028754204062668046,219.23731434224422,0,6,P1_TARGET,493.0,522.0,46
4571.9671942,671,416,0,6,15.125500000067404,-991.7027536235598,-132.22703381647466,1000.4790552612554,49229.68997351653,56854.946760136016,75206.69748091891,21152923.456605375,-3.0090411212931194,-0.3865945819498493,0.02554688905876199,207.17142660125697,0,6,P1_TARGET,493.0,522.0,46
4571.9767852,671,416,0,6,9.59100000000035,0.0,0.0,0.0,103399.30701944779,13786.574269259707,104314.36297166292,7215543.550291046,-3.0090411212931194,0.0,0.0,207.17142660125697,0,6,P1_TARGET,493.0,522.0,46
4571.9916148,655,416,0,6,14.829599999757193,-1078.9232346295228,0.0,1078.9232346295228,-72754.7091389645,0.0,72754.7091389645,11914865.60414792,3.141592653589793,-0.1325515322966737,0.008284470768542107,193.59752064528098,0,6,P1_TARGET,493.0,522.0,46
4572.0087921,642,421,0,6,17.177300000184914,-756.8127703341069,291.08183474388727,810.8601629496009,18752.10098746301,16945.72690357354,25274.47233345352,5417768.485441229,2.774418819771574,-0.3671738338182191,0.026361544962074396,180.00555546982432,0,6,P1_TARGET,493.0,522.0,46
